codi_barri,delta_renda,delta_gini,renda_2023,gini_2023
1,0.40076904132897523,-0.06997772244790988,11917.47619047619,33.7952380952381
2,0.3988469042095761,-0.04431599229287089,16013.222222222223,39.266666666666666
3,0.4197316124261598,-0.0613784135240573,15359.818181818182,32.809090909090905
4,0.42194831432576335,-0.06949581467782767,16621.153846153848,36.76923076923077
5,0.3223326749344299,-0.06261022927689593,20418.8,31.889999999999997
6,0.27035548591503417,-0.03844160331720811,19505.41176470588,32.73823529411764
7,0.3131324892901521,-0.03207393313400382,26054.58620689655,36.83793103448276
8,0.337806096105501,-0.04352299619302399,24315.346153846152,35.753846153846155
9,0.29243939727377016,-0.06069966238057604,22170.15,32.69
10,0.3112196145794786,-0.07421828908554563,19782.916666666668,32.69166666666667
11,0.397118168674335,-0.058107293550331514,15420.75,32.55416666666667
12,0.5684771742752416,0.0,14121.0,31.3
13,0.29606232891134987,-0.06639247943595776,14844.411764705883,28.041176470588233
14,0.3186900795192053,-0.078740157480315,18431.14285714286,30.085714285714285
15,0.3076215407629021,-0.07718696397941688,17482.9,32.28
16,0.3149139502389152,-0.06099677659310699,17590.615384615383,29.13076923076923
17,0.2690373596792134,-0.06236966824644546,16971.3125,30.9125
18,0.309599363927418,-0.05894540557339693,19140.51724137931,31.324137931034482
19,0.28455495173283635,-0.05069930069930076,24792.314285714285,32.58
20,0.2703236729561672,-0.030127940569541874,22158.933333333334,31.333333333333332
21,0.29100092433645863,0.05954209640845581,33520.28571428572,41.385714285714286
22,0.45890812754281396,-0.055460750853242265,25698.666666666668,36.9
23,0.3372439810686604,4.639940608785001e-05,30462.0,38.487500000000004
24,0.32203890416539366,-0.010920436817472696,35403.0,40.345454545454544
25,0.35648471160278206,-0.02141452787076882,31431.333333333332,38.36666666666667
26,0.31132334780970566,0.00549925960337968,31548.451612903227,39.89677419354839
27,0.3309025034732627,-0.04749493194323786,25713.736842105263,34.62105263157895
28,0.2555897730423417,-0.05683563748079871,23054.454545454544,33.49090909090909
29,0.3031710112557676,-0.04666272888363846,17737.2,32.28
30,0.2926021281872617,-0.04697380307136412,21889.7,31.65
31,0.3658794188870743,-0.05683794466403156,20979.11111111111,33.141666666666666
32,0.2882766568400313,-0.06143678864276096,21552.92,30.676
33,0.28577221168996986,-0.0704156479217605,19025.842105263157,30.015789473684208
34,0.30617912520249946,-0.04616724738675953,17738.285714285714,31.285714285714285
35,0.2707501382318608,-0.0659499939606233,18201.92,30.932
36,0.31594039633365756,-0.057405784399649495,22027.714285714286,30.728571428571428
37,0.30052462610602143,-0.042270904041962494,13589.181818181818,28.218181818181815
38,0.3016148880588959,-0.02748154224774412,15072.375,29.6375
39,0.2088957247787055,-0.07951653944020357,15405.2,28.939999999999998
40,0.23684210526315788,-0.005957446808510663,17190.25,29.2
41,0.2889507284334588,-0.028985507246376965,19685.5,26.799999999999997
42,0.4426390136359925,-0.21301775147928984,17668.0,26.6
43,0.29339310704387683,-0.057541813717968356,17956.238095238095,29.24761904761905
44,0.2587012168707912,-0.05704584040747035,16822.21052631579,29.23157894736842
45,0.2509195101456062,-0.0603807796917497,15134.666666666666,28.78888888888889
46,0.28114984565170387,-0.07099649793059547,13031.6,29.18
47,0.3527177252667449,-0.1712626995645865,12107.5,28.549999999999997
48,0.2629627100122936,-0.05796610169491526,16811.18181818182,25.263636363636362
49,0.29042778886039083,-0.05279265493496554,16301.2,24.759999999999998
50,0.2761424657534246,-0.10206637445209762,11644.8,28.68
51,0.2725417110401136,-0.08280757097791798,12546.625,29.075
52,0.2701513591479981,-0.07305708104509892,14001.45,27.85
53,0.36506261094851966,-0.1089542892924232,11380.8,28.46
54,0.4472147496883407,-0.1231003039513677,11028.5,28.85
55,0.28650955248451254,-0.18707810993249774,9898.833333333334,28.099999999999998
56,0.3792182568584608,-0.1483679525222553,11362.0,28.7
57,0.3244643770042293,-0.07761732851985534,11399.4,30.660000000000004
58,0.41734585951595843,-0.1674140508221226,11390.5,27.85
59,0.31520728634752965,-0.09897292250233415,13945.142857142857,27.571428571428573
60,0.28040623612430515,-0.04931506849315075,18558.897435897437,27.58205128205128
61,0.2701497315577012,-0.04044489383215367,17258.35,28.47
62,0.27995755601618805,-0.07040780759846633,17289.666666666668,29.633333333333333
63,0.2920147159135384,-0.07493154095095833,17775.53846153846,28.584615384615386
64,0.3054741824464836,-0.059945839487937094,18556.48,30.548
65,0.3337646252654785,-0.07180451127819547,18433.647058823528,29.04705882352941
66,0.36233611442193087,-0.04672897196261687,20066.0,31.733333333333334
67,0.2737299094771845,-0.05778032036613281,27578.8,32.94
68,0.3885355376923289,-0.026436430317848363,20106.55,31.855
69,0.3394142170530284,-0.011018069634199995,21617.571428571428,32.05714285714286
70,0.33547864148496404,-0.0811004784688994,12673.692307692309,29.54615384615385
71,0.33442274221620577,-0.05160239000543191,17250.75,29.099999999999998
72,0.2746343714553116,-0.04549911747401448,16418.777777777777,27.038888888888888
73,0.281141305657528,-0.04796680497925301,15189.333333333334,27.314285714285717
