codi_barri,import_euros,index_gini
1,8507.809523809523,36.33809523809524
2,11447.444444444445,41.0875
3,10818.818181818182,34.95454545454545
4,11689.0,39.51538461538462
5,15441.5,34.019999999999996
6,15354.29411764706,34.04705882352941
7,19841.55172413793,38.05862068965517
8,18175.53846153846,37.38076923076923
9,17153.725,34.802499999999995
10,15087.416666666666,35.3125
11,11037.541666666666,34.5625
12,9003.0,31.3
13,11453.470588235294,30.03529411764706
14,13976.857142857143,32.65714285714286
15,13370.0,34.980000000000004
16,13377.76923076923,31.023076923076925
17,13373.375,32.96875
18,14615.551724137931,33.286206896551725
19,19300.314285714285,34.32
20,17443.533333333333,32.306666666666665
21,25964.571428571428,39.06
22,17615.0,39.06666666666666
23,22779.6875,38.48571428571428
24,26779.090909090908,40.79090909090909
25,23171.166666666668,39.20625
26,24058.483870967742,39.67857142857143
27,19320.526315789473,36.347368421052636
28,18361.454545454544,35.50909090909091
29,13610.8,33.86
30,16934.6,33.21
31,15359.416666666666,35.138888888888886
32,16730.04,32.684
33,14797.21052631579,32.28947368421053
34,13580.285714285714,32.8
35,14323.76,33.116
36,16739.14285714286,32.6
37,10449.0,29.463636363636365
38,11579.75,30.475
39,12743.2,31.439999999999998
40,13898.5,29.375
41,15272.5,27.6
42,12247.0,33.8
43,13883.047619047618,31.033333333333335
44,13364.736842105263,31.0
45,12098.833333333334,30.63888888888889
46,10171.8,31.410000000000004
47,8950.5,34.45
48,13310.90909090909,26.818181818181817
49,12632.4,26.139999999999997
50,9125.0,31.939999999999998
51,9859.5,31.7
52,11023.45,30.044999999999998
53,8337.2,31.939999999999998
54,7620.5,32.9
55,7694.333333333333,34.56666666666667
56,8238.0,33.7
57,8606.8,33.239999999999995
58,8036.5,33.45
59,10603.0,30.599999999999998
60,14494.538461538461,29.012820512820515
61,13587.65,29.669999999999998
62,13508.0,31.877777777777776
63,13758.0,30.9
64,14214.36,32.496
65,13820.764705882353,31.294117647058822
66,14729.111111111111,33.28888888888889
67,21652.0,34.96
68,14480.4,32.72
69,16139.57142857143,32.41428571428571
70,9490.0,32.15384615384615
71,12927.5,30.683333333333334
72,12881.166666666666,28.327777777777776
73,11856.095238095239,28.69047619047619
