codi_barri,preu_mitja_m2,pisos_turistics
1,11.1,180.0
2,11.2,184.0
3,16.3,69.0
4,12.7,171.0
5,10.9,343.0
6,11.1,794.0
7,11.3,1.747
8,11.4,727.0
9,11.3,428.0
10,11.0,568.0
11,11.1,546.0
12,6.6,3.0
13,8.4,6.0
14,11.3,74.0
15,11.1,187.0
16,9.8,42.0
17,10.7,90.0
18,11.0,189.0
19,11.8,171.0
20,11.4,36.0
21,14.1,8.0
22,12.1,3.0
23,14.5,23.0
24,14.0,31.0
25,12.8,26.0
26,12.7,271.0
27,12.3,158.0
28,11.6,35.0
29,9.9,13.0
30,11.3,35.0
31,12.3,768.0
32,11.3,230.0
33,10.6,87.0
34,10.1,13.0
35,10.4,54.0
36,11.4,2.0
37,9.1,26.0
38,9.5,9.0
39,8.3,3.0
40,10.1,
41,10.1,
42,8.0,
43,9.5,4.0
44,9.3,6.0
45,9.1,2.0
46,8.3,
47,12.5,
48,8.2,1.0
49,7.2,1.0
50,8.7,3.0
51,9.1,2.0
52,9.6,4.0
53,8.8,
54,6.1,
55,6.6,
56,8.0,
57,8.0,5.0
58,4.8,
59,8.8,1.0
60,10.0,27.0
61,9.7,21.0
62,9.5,4.0
63,9.7,11.0
64,10.6,270.0
65,10.3,50.0
66,11.5,101.0
67,14.3,111.0
68,11.7,406.0
69,12.5,145.0
70,8.4,30.0
71,10.0,36.0
72,9.4,9.0
73,9.1,6.0
